[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /login | Status: 200 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /it-update | Status: 200 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /awareness-education | Status: 200 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | POST /api/login | Status: 302 | User: Budi_Finance | Set-Cookie: session_token=xYz890AbC;
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 302 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /login | Status: 200 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | POST /api/phishing-submit | Status: 302 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:42:41] IP: 127.0.0.1 | GET /awareness-education | Status: 200 | Cookie: session_token=; User-Agent: Python-urllib/3.11
[2026-09-20 19:45:41] IP: 127.0.0.1 | GET /login | Status: 200 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:45:42] IP: 127.0.0.1 | GET /favicon.ico | Status: 404 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:45:51] IP: 127.0.0.1 | GET /home | Status: 404 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:46:06] IP: 127.0.0.1 | GET /awareness-education | Status: 200 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:46:18] IP: 127.0.0.1 | GET /it-update | Status: 200 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:47:24] IP: 127.0.0.1 | GET /login | Status: 200 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:47:39] IP: 127.0.0.1 | POST /api/login | Status: 302 | User: Budi_Finance | Set-Cookie: session_token=xYz890AbC;
[2026-09-20 19:47:39] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:49:12] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:51:34] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:51:53] IP: 127.0.0.1 | GET /dashboard/laporan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:51:54] IP: 127.0.0.1 | GET /dashboard/transfer_dana | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:52:01] IP: 127.0.0.1 | GET /dashboard/laporan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:52:02] IP: 127.0.0.1 | GET /dashboard/keuangan | Status: 200 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:52:35] IP: 127.0.0.1 | GET /logout | Status: 302 | Cookie: session_token=xYz890AbC; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:52:35] IP: 127.0.0.1 | GET /login | Status: 200 | Cookie: session_token=; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36 Edg/153.0.0.0
[2026-09-20 19:52:40] IP: 127.0.0.1 | POST /api/login | Status: 302 | User: Budi_Finance | Set-Cookie: session_token=xYz890AbC;
